Run Date,Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Weight %,Sell Reason,Buy Reason,Exit Safety,Data Safety
2026-09-18,92,15,SBIN,996.2000122070312,0.24436552951789658,0.5522388059701493,0.44776119402985076,-0.10447761194029853,HOLD,2.0,,,,VALID
2026-09-18,8,16,RRKABEL,2450.800048828125,0.8443933495977263,0.5495049504950495,0.4504950495049505,-0.09900990099009904,HOLD,2.0,,,,VALID
2026-09-18,54,17,ABB,7270.5,0.38644204737624577,0.5445544554455446,0.45544554455445546,-0.08910891089108913,HOLD,2.0,,,,VALID
2026-09-18,85,18,UNIONBANK,176.55999755859375,0.2697395584742692,0.5422885572139303,0.4577114427860697,-0.08457711442786064,HOLD,2.0,,,,VALID
2026-09-18,35,19,AIAENG,3973.300048828125,0.4816998076706871,0.5422885572139303,0.4577114427860697,-0.08457711442786064,HOLD,2.0,,,,VALID
2026-09-18,66,20,CUMMINSIND,5099.5,0.34556584807370094,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,2.0,,,,VALID
2026-09-18,28,21,HSCL,675.3499755859375,0.5804105940037936,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,2.0,,,,VALID
2026-09-18,17,22,MCX,3260.0,0.7174020878371861,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,2.0,,,,VALID
2026-09-18,67,23,ASTERDM,755.0499877929688,0.3414094721194967,0.5396039603960396,0.4603960396039604,-0.07920792079207922,HOLD,2.0,,,,VALID
2026-09-18,26,24,GRANULES,875.5,0.6216513741219356,0.5373134328358209,0.4626865671641791,-0.07462686567164178,HOLD,2.0,,,,VALID
2026-09-18,29,25,NAVINFLUOR,8590.0,0.5520581394651216,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,2.0,,,,VALID
2026-09-18,90,26,SOLARINDS,18555.0,0.26339201585349903,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,2.0,,,,VALID
2026-09-18,27,27,SONACOMS,808.0,0.6096127998947392,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,2.0,,,,VALID
2026-09-18,61,28,ANANDRATHI,2229.39990234375,0.3575086493460684,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,2.0,,,,VALID
2026-09-18,30,29,APARINDS,18858.0,0.5471318705738846,0.5346534653465347,0.46534653465346537,-0.06930693069306931,HOLD,2.0,,,,VALID
2026-09-18,43,30,MAHABANK,83.54000091552734,0.4382058100468589,0.5323383084577115,0.46766169154228854,-0.06467661691542292,HOLD,2.0,,,,VALID
2026-09-18,19,31,SYRMA,1728.9000244140625,0.6771765682311979,0.5297029702970297,0.47029702970297027,-0.05940594059405946,HOLD,2.0,,,,VALID
2026-09-18,13,32,J&KBANK,146.5800018310547,0.7472265369844686,0.5297029702970297,0.47029702970297027,-0.05940594059405946,HOLD,2.0,,,,VALID
2026-09-18,79,33,GESHIP,1432.0999755859375,0.2958752750741602,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,2.0,,,,VALID
2026-09-18,24,34,BSE,3266.39990234375,0.6336425822082479,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,2.0,,,,VALID
2026-09-18,4,35,KIRLOSENG,2160.10009765625,1.4005863564080983,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,2.0,,,,VALID
2026-09-18,96,36,SAIL,177.3300018310547,0.22420785592805936,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,2.0,,,,VALID
2026-09-18,83,37,PNBHOUSING,1133.0999755859375,0.2769070773126403,0.5247524752475248,0.4752475247524752,-0.04950495049504955,HOLD,2.0,,,,VALID
2026-09-18,72,38,SCI,277.04998779296875,0.32093627289401483,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,2.0,,,,VALID
2026-09-18,33,39,PFOCUS,344.3500061035156,0.5264989388129253,0.5198019801980198,0.4801980198019802,-0.03960396039603964,HOLD,2.0,,,,VALID
