effective_date,symbol
2019-01-28,SADBHAV
2019-01-28,SAIL
2019-01-28,SANGHI
2019-01-28,SANOFI
2019-01-28,SAREGAMA
2019-01-28,SBILIFE
2019-01-28,SCHAEFFLER
2019-01-28,SCHENECT
2019-01-28,SCI
2019-01-28,SCILAL
2019-01-28,SESASTERL
2019-01-28,SESHAPAPER
2019-01-28,SFL
2019-01-28,SHANKARA
2019-01-28,SHAWWALLA
2019-01-28,SHILPAMED
2019-01-28,SHK
2019-01-28,SHOPERSTOP
2019-01-28,SHREECEM
2019-01-28,SHRIRAMFIN
2019-01-28,SHYAMTEL
2019-01-28,SIEMENS
2019-01-28,SIS
2019-01-28,SJVN
2019-01-28,SKFINDIA
2019-01-28,SKSMICRO
2019-01-28,SOLARINDS
2019-01-28,SONATSOFTW
2019-01-28,SOUTHBANK
2019-01-28,SPARC
2019-01-28,SRF
2019-01-28,STAR
2019-01-28,STARCEMENT
2019-01-28,STYROLUT
2019-01-28,SUNCLAY
2019-01-28,SUNDARMFIN
2019-01-28,SUNDRMFAST
2019-01-28,SUNPHARMA
2019-01-28,SUPREMEIND
2019-01-28,SUVEN
2019-01-28,SYMPHONY
2019-01-28,SYNGENE
2019-01-28,TAKE
2019-01-28,TAMIL
2019-01-28,TATACHEM
2019-01-28,TATACONSUM
2019-01-28,TATAELXSI
2019-01-28,TATAINVEST
2019-01-28,TATAMETAL
2019-01-28,TATAMOTORS
2019-01-28,TATAPOWER
2019-01-28,TATASTEEL
2019-01-28,TCS
2019-01-28,TEAMLEASE
2019-01-28,TEXRAIL
2019-01-28,THERMAX
2019-01-28,THIRU
2019-01-28,THOMASCOOK
2019-01-28,THYROCARE
2019-01-28,TIINDIA
2019-01-28,TIMETECHNO
2019-01-28,TIMEX
2019-01-28,TIMKEN
2019-01-28,TITAN
2019-01-28,TMCV
2019-01-28,TODAYS
2019-01-28,TORNTPHARM
2019-01-28,TORNTPOWER
2019-01-28,TRANSPEK
2019-01-28,TRENT
2019-01-28,TRIDENT
2019-01-28,TTKPRESTIG
2019-01-28,TVSSRICHAK
2019-01-28,TVTODAY
2019-01-28,UBL
2019-01-28,UCALFUEL
2019-01-28,UFLEX
2019-01-28,UJJIVAN
2019-01-28,ULTRACEMCO
2019-01-28,UNICHEMLAB
2019-01-28,UNIONBANK
2019-01-28,UNOMINDA
2019-01-28,URBANCO
2019-01-28,VARROC
2019-01-28,VARUN
2019-01-28,VBL
2019-01-28,VENKEYS
2019-01-28,VHL
2019-01-28,VISHAL
2019-01-28,VMART
2019-01-28,VOLTAS
2019-01-28,VTL
2019-01-28,WELENT
2019-01-28,WIDIA
2019-01-28,WIMCO
2019-01-28,WINDMACH
2019-01-28,WIPRO
2019-01-28,WOCKPHARMA
2019-01-28,WSTCSTPAPR
2019-01-28,ZENSARTECH
2019-01-28,ZYDUSWELL
2019-03-29,3MINDIA
2019-03-29,AAVAS
2019-03-29,ABB
2019-03-29,ABBOTINDIA
2019-03-29,ABCAPITAL
2019-03-29,ABREL
2019-03-29,ACC
2019-03-29,ADANIENSOL
2019-03-29,ADANIPOWER
2019-03-29,ADVENZYMES
2019-03-29,AEGISLOG
2019-03-29,AGCNETWO
2019-03-29,AIAENG
2019-03-29,AKZOINDIA
2019-03-29,ALKEM
2019-03-29,ALLCARGO
2019-03-29,ALTOS
2019-03-29,AMBALAL
2019-03-29,AMBUJACEM
2019-03-29,APLAPOLLO
2019-03-29,APOLLOHOSP
2019-03-29,APOLLOTYRE
2019-03-29,APPAPER
2019-03-29,APPLE
2019-03-29,ASHOKLEY
2019-03-29,ASIANPAINT
2019-03-29,ASTERDM
2019-03-29,ASTRAZENCA
2019-03-29,ATUL
2019-03-29,ATULAUTO
2019-03-29,AUBANK
2019-03-29,AVANTIFEED
2019-03-29,AVERY
2019-03-29,AXISBANK
2019-03-29,BAJAJ
2019-03-29,BAJAJ-AUTO
2019-03-29,BAJAJHLDNG
2019-03-29,BAJFINANCE
2019-03-29,BALMLAWRIE
2019-03-29,BALRAMCHIN
2019-03-29,BANKBARODA
2019-03-29,BASF
2019-03-29,BATAINDIA
2019-03-29,BBTC
2019-03-29,BDL
2019-03-29,BEL
2019-03-29,BEML
2019-03-29,BERGEPAINT
2019-03-29,BHARATFORG
2019-03-29,BHARTIARTL
2019-03-29,BHEL
2019-03-29,BI
2019-03-29,BIOCON
2019-03-29,BIRLACORPN
2019-03-29,BLISSGVS
2019-03-29,BLUEDART
2019-03-29,BLUESTARCO
2019-03-29,BOMDYEING
2019-03-29,BOSCH-HCIL
2019-03-29,BOSCHLTD
2019-03-29,BPCL
2019-03-29,BRIGADE
2019-03-29,BRITANNIA
2019-03-29,BSE
2019-03-29,BSOFT
2019-03-29,CABLE
2019-03-29,CANBK
2019-03-29,CANFINHOME
2019-03-29,CAPLIN
2019-03-29,CASTROLIND
2019-03-29,CCL
2019-03-29,CDSL
2019-03-29,CEATLTD
2019-03-29,CENTRALBK
2019-03-29,CERA
2019-03-29,CESC
2019-03-29,CGPOWER
2019-03-29,CHAMBLFERT
2019-03-29,CHEMINOR
2019-03-29,CHENNPETRO
2019-03-29,CHETTINAD
2019-03-29,CHOLAFIN
2019-03-29,CHOLAHLDNG
2019-03-29,CIPLA
2019-03-29,CMC
2019-03-29,COALINDIA
2019-03-29,COCHINSHIP
2019-03-29,COFFEEDAY
2019-03-29,COFORGE
2019-03-29,COLPAL
2019-03-29,CONCOR
2019-03-29,CONSOFINVT
2019-03-29,COROMANDEL
2019-03-29,COX&KINGS
2019-03-29,CREDITACC
2019-03-29,CRISIL
2019-03-29,CROMPTON
2019-03-29,CUB
2019-03-29,CUMMINSIND
2019-03-29,CYBERTECH
2019-03-29,DABUR
2019-03-29,DBCORP
2019-03-29,DBL
2019-03-29,DCAL
2019-03-29,DCLPOLYE
2019-03-29,DCW
2019-03-29,DEEPAKFERT
2019-03-29,DEEPAKNTR
2019-03-29,DHAMPURSUG
2019-03-29,DHANBANK
2019-03-29,DHFL
2019-03-29,DICIND
2019-03-29,DIGJAMLMTD
2019-03-29,DISHTV
2019-03-29,DLF
2019-03-29,DMART
2019-03-29,DRREDDY
2019-03-29,DSQSOFTW
2019-03-29,ECLERX
2019-03-29,EICHERMOT
2019-03-29,EIDPARRY
2019-03-29,EIHOTEL
2019-03-29,ELECON
2019-03-29,ELGIEQUIP
2019-03-29,ELGIRUBCO
2019-03-29,ENDURANCE
2019-03-29,ENERGY
2019-03-29,ENGINERSIN
2019-03-29,ERIS
2019-03-29,ESCORTS
2019-03-29,ESSAR
2019-03-29,EXCEL
2019-03-29,EXCELINDUS
2019-03-29,EXIDEIND
2019-03-29,FACT
2019-03-29,FDC
2019-03-29,FEDERALBNK
2019-03-29,FINCABLES
2019-03-29,FLFL
2019-03-29,FLUOROCHEM
2019-03-29,FORTIS
2019-03-29,FOSECOIND
2019-03-29,FULFORD
2019-03-29,GAEL
2019-03-29,GAIL
2019-03-29,GALAXYSURF
2019-03-29,GANESHBE
2019-03-29,GARDEN
2019-03-29,GAYAPROJ
2019-03-29,GESHIP
2019-03-29,GHCL
2019-03-29,GICRE
2019-03-29,GILLETTE
2019-03-29,GLAXO
2019-03-29,GLENMARK
2019-03-29,GLFL
2019-03-29,GMDCLTD
2019-03-29,GNFC
2019-03-29,GODFRYPHLP
2019-03-29,GODREJAGRO
2019-03-29,GODREJCP
2019-03-29,GODREJIND
2019-03-29,GOKEX
2019-03-29,GOODRICKE
2019-03-29,GOODYEAR
2019-03-29,GPPL
2019-03-29,GRANULES
2019-03-29,GRAPHITE
2019-03-29,GRASIM
2019-03-29,GREAVESCOT
2019-03-29,GRINDWELL
2019-03-29,GRUH
2019-03-29,GSFC
2019-03-29,GSKCONS
2019-03-29,GSPL
2019-03-29,GUJALKALI
2019-03-29,GUJGASLTD
2019-03-29,GVT&D
2019-03-29,HAL
2019-03-29,HARRMALAYA
2019-03-29,HATSUN
2019-03-29,HAVELLS
2019-03-29,HCLTECH
2019-03-29,HDFC
2019-03-29,HDFCAMC
2019-03-29,HDFCBANK
2019-03-29,HDFCLIFE
2019-03-29,HEALTHCARE
2019-03-29,HEG
2019-03-29,HEIDELBERG
2019-03-29,HERBERTS
2019-03-29,HERITGFOOD
2019-03-29,HEROMOTOCO
2019-03-29,HEXT
2019-03-29,HIMACHAL
2019-03-29,HIMATSEIDE
2019-03-29,HINDALCO
2019-03-29,HINDCOPPER
2019-03-29,HINDPETRO
2019-03-29,HINDSYNTEX
2019-03-29,HINDUNILVR
2019-03-29,HINDUSTAN
2019-03-29,HINDZINC
2019-03-29,HOGANAS
2019-03-29,HONAUT
2019-03-29,HSCL
2019-03-29,HUBTOWN
2019-03-29,IBREALEST
2019-03-29,IBULLSLTD
2019-03-29,IBVENTURES
2019-03-29,ICICI
2019-03-29,ICICIBANK
2019-03-29,ICICIGI
2019-03-29,ICICIPRULI
2019-03-29,ICRA
2019-03-29,IDBI
2019-03-29,IDFCFIRSTB
2019-03-29,IFBIND
2019-03-29,IFCI
2019-03-29,IGL
2019-03-29,INDHOTEL
2019-03-29,INDIACEM
2019-03-29,INDIAGLYCO
2019-03-29,INDIANB
2019-03-29,INDIGO
2019-03-29,INDOCO
2019-03-29,INDUSINDBK
2019-03-29,INDUSTOWER
2019-03-29,INFIBEAM
2019-03-29,INFY
2019-03-29,INOXWIND
2019-03-29,INSILCO
2019-03-29,INTELLECT
2019-03-29,IOB
2019-03-29,IOC
2019-03-29,IONEXCHANG
2019-03-29,IPCALAB
2019-03-29,IPRINGS
2019-03-29,IRCON
2019-03-29,ISMT
2019-03-29,ITC
2019-03-29,ITDC
2019-03-29,ITDCEMEN
2019-03-29,ITI
2019-03-29,ITIETF
2019-03-29,ITWSIGNO
2019-03-29,JAGRAN
2019-03-29,JAICORPLTD
2019-03-29,JBCHEPHARM
2019-03-29,JBMA
2019-03-29,JETAIRWAYS
2019-03-29,JGCHEM
2019-03-29,JINDALPHOT
2019-03-29,JINDALSAW
2019-03-29,JINDALSTEL
2019-03-29,JISLJALEQS
2019-03-29,JKCEMENT
2019-03-29,JKPAPER
2019-03-29,JKTYRE
2019-03-29,JPASSOCIAT
2019-03-29,JSL
2019-03-29,JUBLFOOD
2019-03-29,JUBLINGRY
2019-03-29,KAJARIACER
2019-03-29,KANSAINER
2019-03-29,KARURVYSYA
2019-03-29,KARUTURI
2019-03-29,KEI
2019-03-29,KINETIC
2019-03-29,KIOCL
2019-03-29,KMSUGAR
2019-03-29,KNRCON
2019-03-29,KOHINOOR
2019-03-29,KOTAKBANK
2019-03-29,KPEL
2019-03-29,KRBL
2019-03-29,KRISHNA
2019-03-29,KTKBANK
2019-03-29,KUMARS
2019-03-29,LALPATHLAB
2019-03-29,LAURUSLABS
2019-03-29,LEMONTREE
2019-03-29,LICHSGFIN
2019-03-29,LINDEINDIA
2019-03-29,LT
2019-03-29,LTF
2019-03-29,LTTS
2019-03-29,LUPIN
2019-03-29,LUXIND
2019-03-29,M
2019-03-29,M&
2019-03-29,M&M
2019-03-29,MADURA
2019-03-29,MAFATIND
2019-03-29,MAHABANK
2019-03-29,MAHSCOOTER
2019-03-29,MAHSEAMLES
2019-03-29,MALWA
2019-03-29,MARICO
2019-03-29,MARUTI
2019-03-29,MASFIN
2019-03-29,MASTEK
2019-03-29,MATRIX
2019-03-29,MAXIND
2019-03-29,MERCK
2019-03-29,MERIND
2019-03-29,MFSL
2019-03-29,MGL
2019-03-29,MODIXEROX
2019-03-29,MONSANTO
2019-03-29,MOREPENLAB
2019-03-29,MOTHERSON
2019-03-29,MOTHERSUMI
2019-03-29,MPHASIS
2019-03-29,MRF
2019-03-29,MRPL
2019-03-29,NAGARFERT
2019-03-29,NAHAR
2019-03-29,NAHARPOLY
2019-03-29,NAHARSPING
2019-03-29,NAM-INDIA
2019-03-29,NATCOPHARM
2019-03-29,NATIONAL
2019-03-29,NATIONALUM
2019-03-29,NAVA
2019-03-29,NAVINFLUOR
2019-03-29,NCC
2019-03-29,NESCO
2019-03-29,NESTLEIND
2019-03-29,NETWORK18
2019-03-29,NFL
2019-03-29,NH
2019-03-29,NIACL
2019-03-29,NILKAMAL
2019-03-29,NIRMA
2019-03-29,NITCO
2019-03-29,NLCINDIA
2019-03-29,NMDC
2019-03-29,NTPC
2019-03-29,OBC
2019-03-29,OFSS
2019-03-29,OIL
2019-03-29,OILCOUNTUB
2019-03-29,OLECTRA
2019-03-29,OMAXAUTO
2019-03-29,OMAXE
2019-03-29,ONELIFECAP
2019-03-29,ONGC
2019-03-29,ONIDA
2019-03-29,ORIENTCEM
2019-03-29,ORIENTELEC
2019-03-29,PARAGMILK
2019-03-29,PATANJALI
2019-03-29,PATNI
2019-03-29,PATSPIN
2019-03-29,PCBL
2019-03-29,PCJEWELLER
2019-03-29,PDMJEPAPER
2019-03-29,PEL
2019-03-29,PENTAFOUR
2019-03-29,PENTAMEDIA
2019-03-29,PERSISTENT
2019-03-29,PETRONET
2019-03-29,PFIZER
2019-03-29,PGHL
2019-03-29,PHIL
2019-03-29,PHILIPS
2019-03-29,PHOENIX
2019-03-29,PIDILITIND
2019-03-29,PNB
2019-03-29,POONAWALLA
2019-03-29,PRAJIND
2019-03-29,PREMIERENE
2019-03-29,PRESTIGE
2019-03-29,PSIDATA
2019-03-29,PUNJABCHEM
2019-03-29,PUNJTRACT
2019-03-29,QUESS
2019-03-29,RAASI
2019-03-29,RAIN
2019-03-29,RAJESHEXPO
2019-03-29,RALLIS
2019-03-29,RAMCOCEM
2019-03-29,RAYMOND
2019-03-29,RBLBANK
2019-03-29,RCF
2019-03-29,RCOM
2019-03-29,RECKITT
2019-03-29,RECLTD
2019-03-29,REIAGRO
2019-03-29,RELAXO
2019-03-29,RELCAPITAL
2019-03-29,RELIANCE
2019-03-29,RELINFRA
2019-03-29,RELMEDIA
2019-03-29,RITES
2019-03-29,RKFORGE
2019-03-29,RPGTRANS
2019-03-29,RPOWER
2019-03-29,RSWM
2019-03-29,RUPA
2019-03-29,SAIL
2019-03-29,SANGHI
2019-03-29,SANOFI
2019-03-29,SAREGAMA
2019-03-29,SBILIFE
2019-03-29,SCHAEFFLER
2019-03-29,SCHENECT
2019-03-29,SCI
2019-03-29,SCILAL
2019-03-29,SESASTERL
2019-03-29,SESHAPAPER
2019-03-29,SFL
2019-03-29,SHANKARA
2019-03-29,SHARDACROP
2019-03-29,SHAWWALLA
2019-03-29,SHILPAMED
2019-03-29,SHK
2019-03-29,SHOPERSTOP
2019-03-29,SHREECEM
2019-03-29,SHRIRAMFIN
2019-03-29,SHYAMTEL
2019-03-29,SIEMENS
2019-03-29,SIS
2019-03-29,SJVN
2019-03-29,SKFINDIA
2019-03-29,SKSMICRO
2019-03-29,SOLARINDS
2019-03-29,SONATSOFTW
2019-03-29,SOUTHBANK
2019-03-29,SPARC
2019-03-29,SRF
2019-03-29,STAR
2019-03-29,STARCEMENT
2019-03-29,STYROLUT
2019-03-29,SUNCLAY
2019-03-29,SUNDARMFIN
2019-03-29,SUNDRMFAST
2019-03-29,SUNPHARMA
2019-03-29,SUPRAJIT
2019-03-29,SUPREMEIND
2019-03-29,SUVEN
2019-03-29,SYMPHONY
2019-03-29,SYNGENE
2019-03-29,TAKE
2019-03-29,TAMIL
2019-03-29,TATACHEM
2019-03-29,TATACONSUM
2019-03-29,TATAELXSI
2019-03-29,TATAINVEST
2019-03-29,TATAMETAL
2019-03-29,TATAMOTORS
2019-03-29,TATAPOWER
2019-03-29,TATASTEEL
2019-03-29,TCNSCLOTH
2019-03-29,TCS
2019-03-29,TEAMLEASE
2019-03-29,THERMAX
2019-03-29,THIRU
2019-03-29,THOMASCOOK
2019-03-29,THYROCARE
2019-03-29,TIINDIA
2019-03-29,TIMETECHNO
2019-03-29,TIMEX
2019-03-29,TIMKEN
2019-03-29,TITAN
2019-03-29,TMCV
2019-03-29,TORNTPHARM
2019-03-29,TORNTPOWER
2019-03-29,TRANSPEK
2019-03-29,TRENT
2019-03-29,TRIDENT
2019-03-29,TRITURBINE
2019-03-29,TTKPRESTIG
2019-03-29,TVTODAY
2019-03-29,UBL
2019-03-29,UCALFUEL
2019-03-29,UFLEX
2019-03-29,UJJIVAN
2019-03-29,ULTRACEMCO
2019-03-29,UNIONBANK
2019-03-29,UNOMINDA
2019-03-29,URBANCO
2019-03-29,VARROC
