Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Sell Reason,Exit Safety,Data Safety,Weight %
77,,HINDALCO,985.0,0.2866450307246555,0.5862068965517241,0.41379310344827586,-0.17241379310344823,HOLD,,,,2.0
78,,PHOENIXLTD,1925.9000244140625,0.2831021215327043,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
79,,AARTIIND,487.45001220703125,0.2703458856554133,0.46798029556650245,0.5320197044334976,0.0640394088669951,ID FILTER,,,,0.0
80,,IIFL,600.0,0.26865073273933815,0.5148514851485149,0.48514851485148514,-0.02970297029702973,HOLD,,,,2.0
81,,ACMESOLAR,448.1000061035156,0.26586058237239896,0.4876847290640394,0.5123152709359606,0.024630541871921208,ID FILTER,,,,0.0
82,,ABSLAMC,1059.0,0.26451688748339475,0.5099009900990099,0.4900990099009901,-0.01980198019801982,ID FILTER,,,,0.0
83,,ADANIENT,3005.0,0.2615383826329507,0.4876847290640394,0.5123152709359606,0.024630541871921208,ID FILTER,,,,0.0
84,,BANKINDIA,138.9499969482422,0.26093770243029835,0.5615763546798029,0.43842364532019706,-0.12315270935960587,HOLD,,,,2.0
85,,WOCKPHARMA,2131.699951171875,0.2594142992116384,0.43349753694581283,0.5665024630541872,0.13300492610837433,ID FILTER,,,,0.0
86,,VIJAYA,1548.0999755859375,0.2584366334882118,0.5024630541871922,0.4975369458128079,-0.004926108374384286,ID FILTER,,,,0.0
87,,PNBHOUSING,1124.0,0.25826671269975576,0.5172413793103449,0.4827586206896552,-0.03448275862068967,HOLD,,,,2.0
88,,LTF,309.95001220703125,0.2562149721226712,0.49261083743842365,0.5073891625615764,0.014778325123152747,ID FILTER,,,,0.0
89,,ASTERDM,760.25,0.2558805359302112,0.5320197044334976,0.46798029556650245,-0.0640394088669951,HOLD,,,,2.0
90,,BANDHANBNK,177.57000732421875,0.24988029283899693,0.5,0.5,0.0,ID FILTER,,,,0.0
91,,IPCALAB,2012.5,0.24843856125088504,0.5073891625615764,0.49261083743842365,-0.014778325123152747,ID FILTER,,,,0.0
92,,JINDALSAW,291.95001220703125,0.24560513090154967,0.4729064039408867,0.5270935960591133,0.054187192118226646,ID FILTER,,,,0.0
